orgnr,exclusion_flags
5560532771,LAYER1_OPERATING:förvaltning
5560533258,LAYER1_SERVICE:kyl;NO_REVENUE
5560534603,LAYER1_OPERATING:förvaltning
5560535253,LAYER1_OPERATING:fastighet
5560540014,REVENUE_BELOW_MIN
5560550120,REVENUE_BELOW_MIN
5560550260,LAYER1_OPERATING:fastighet
5560551490,LAYER1_SERVICE:montage;NO_REVENUE
5560553066,NO_REVENUE
5560553132,LAYER1_OPERATING:fastighet
5560554403,LAYER1_SERVICE:åkeri;NO_REVENUE
5560556036,NAME_EXCLUDED:hotel
5560556895,LAYER1_OPERATING:förvaltning
5561022707,NO_REVENUE
5560562430,NO_REVENUE
5560564196,LAYER1_OPERATING:fastighet
5560567769,NO_REVENUE
5560568353,LAYER1_OPERATING:fastighet
5560573619,LAYER1_OPERATING:fastighet
5560574377,NO_REVENUE
5560578097,NO_REVENUE
5561568659,LAYER1_SERVICE:åkeri;NO_REVENUE
5560579533,LAYER1_OPERATING:fastighet
5560579962,NO_REVENUE
5560581018,GLOBAL_SHELL_SUFFIX:sweden ab
5560582354,LAYER1_OPERATING:fastighet
5560582479,LAYER1_SERVICE:kyl;NO_REVENUE
5560583311,LAYER1_SERVICE:verkstad;NO_REVENUE
5560585589,NO_REVENUE
5560585670,NO_REVENUE
5560588112,NAME_EXCLUDED:transport
5560589284,NO_REVENUE
5560590415,LAYER1_OPERATING:fastighet
5560591991,LAYER1_SERVICE:service;NO_REVENUE
5560592288,NO_REVENUE
5560592387,NO_REVENUE
5560594987,GLOBAL_SHELL_SUFFIX:svenska ab
5560598186,LAYER1_SERVICE:rör
5560598434,NO_REVENUE
5560601220,GLOBAL_SHELL_SUFFIX:sweden ab
5560602905,NO_REVENUE
5560603853,NO_REVENUE
5560605213,LAYER1_OPERATING:fastighet
5560605478,GLOBAL_SHELL_SUFFIX:scandinavia ab
5560606112,NO_REVENUE
5560606708,NO_REVENUE
5560609405,NAME_EXCLUDED:hotel
5560610478,NO_REVENUE
5560611765,NO_REVENUE
5565980587,NAME_EXCLUDED:hotel
5560613670,GLOBAL_SHELL_SUFFIX:sweden ab
5560616533,GLOBAL_SHELL_SUFFIX:svenska ab
5561642967,NAME_EXCLUDED:plåt
5560622606,LAYER1_SERVICE:verkstad
5560627613,NO_REVENUE
5560634700,LAYER1_SERVICE:åkeri;NO_REVENUE
5560638511,GLOBAL_SHELL_SUFFIX:sweden ab;NO_REVENUE
5560640335,NAME_EXCLUDED:grossist
5560640350,GLOBAL_SHELL_SUFFIX:sweden ab
5560642760,REVENUE_BELOW_MIN
5560644741,LAYER1_SERVICE:bygg
5560650813,NO_REVENUE
5560652207,NO_REVENUE
5560655424,LAYER1_OPERATING:fastighet
5560994427,REVENUE_BELOW_MIN
5560655903,GLOBAL_SHELL_SUFFIX:sweden ab
5560659590,GLOBAL_SHELL_SUFFIX:systems ab
5560660630,LAYER1_SERVICE:rör
5560660770,NO_REVENUE
5560662305,NO_REVENUE
5560665217,NO_REVENUE
5560665431,LAYER1_OPERATING:fastighet
5560668286,GLOBAL_SHELL_SUFFIX:sweden ab
5560670142,NAME_EXCLUDED:hotel
5560673195,NO_REVENUE
5560995721,NAME_EXCLUDED:transport
5560678624,NO_REVENUE
5560679879,LAYER1_SERVICE:rör
5560679895,NO_REVENUE
5560680448,NO_REVENUE
5560683509,NO_REVENUE
5560685918,LAYER1_SERVICE:åkeri;NO_REVENUE
5560688300,NO_REVENUE
5560691791,NAME_EXCLUDED:transport
5560693805,LAYER1_SERVICE:åkeri
5560694126,LAYER1_SERVICE:bygg;REVENUE_BELOW_MIN
5560704701,LAYER1_OPERATING:fastighet
5560706433,LAYER1_OPERATING:fastighet
5560706953,LAYER1_OPERATING:fastighet
5560707142,LAYER1_SERVICE:service
5560709080,NO_REVENUE
5560710039,NO_REVENUE
5560711367,LAYER1_OPERATING:fastighet
5560712514,NO_REVENUE
5560713462,LAYER1_SERVICE:service;NO_REVENUE
5560713769,LAYER1_SERVICE:åkeri
5560717463,LAYER1_SERVICE:entreprenad
5560725318,NO_REVENUE
5560725771,GLOBAL_SHELL_SUFFIX:sweden ab
5560725896,NAME_EXCLUDED:plåt
5560730425,LAYER1_SERVICE:bygg
5560733478,LAYER1_SERVICE:kyl
5560734930,LAYER1_SERVICE:åkeri;NO_REVENUE
5560735614,LAYER1_SERVICE:bygg
5560747007,NO_REVENUE
5560749664,NO_REVENUE
5560752619,LAYER1_SERVICE:rör;NO_REVENUE
5560759374,NO_REVENUE
5560762956,NO_REVENUE
5560764572,LAYER1_OPERATING:fastighet
5560765603,NO_REVENUE
5560769969,NO_REVENUE
5560771072,LAYER1_OPERATING:fastighet
5560773797,LAYER1_SERVICE:rör
5560774407,NO_REVENUE
5560779356,GLOBAL_SHELL_SUFFIX:sweden ab;NO_REVENUE
5560780198,LAYER1_SERVICE:åkeri
5560780503,LAYER1_SERVICE:åkeri;NO_REVENUE
5560781410,LAYER1_SERVICE:service;NO_REVENUE
5560782798,LAYER1_SERVICE:bygg
5560789629,LAYER1_OPERATING:fastighet
5560790445,GLOBAL_SHELL_SUFFIX:sweden ab
5560791013,LAYER1_OPERATING:fastighet
5560791575,LAYER1_SERVICE:åkeri
5560793084,LAYER1_SERVICE:bygg
5560797184,LAYER1_SERVICE:bygg
5560798448,NO_REVENUE
5560801382,NO_REVENUE
5560804634,NO_REVENUE
5560804857,NO_REVENUE
5560810144,NO_REVENUE
5560813775,NO_REVENUE
5560817974,NO_REVENUE
5560818782,NO_REVENUE
5560821166,LAYER1_SERVICE:bygg
5560825076,LAYER1_SERVICE:bygg
5560827718,GLOBAL_SHELL_SUFFIX:sverige ab
5560828385,NO_REVENUE
5560828914,NO_REVENUE
5560829383,NO_REVENUE
5560835943,LAYER1_SERVICE:montage;NO_REVENUE
5560841917,LAYER1_OPERATING:fastighet
5560844580,NO_REVENUE
5560849795,NAME_EXCLUDED:plåt
5560855362,NO_REVENUE
5560856451,NO_REVENUE
5560860917,LAYER1_SERVICE:bygg
5560861188,NO_REVENUE
5560865932,NO_REVENUE
5560866781,LAYER1_SERVICE:åkeri
5560869967,LAYER1_SERVICE:bygg;NO_REVENUE
5560874173,LAYER1_SERVICE:rör
5560877630,LAYER1_SERVICE:bygg;NO_REVENUE
5560879099,GLOBAL_SHELL_SUFFIX:sverige ab
5560881889,NO_REVENUE
5560913419,NAME_EXCLUDED:transport
5560886722,NO_REVENUE
5560887928,LAYER1_SERVICE:service
5560889239,NO_REVENUE
5560890625,NO_REVENUE
5560894924,NO_REVENUE;NAME_EXCLUDED:anläggning
5560896390,LAYER1_OPERATING:fastighet
5560899311,LAYER1_SERVICE:rör
5560935966,NO_REVENUE
5560889221,NO_REVENUE
5560902115,LAYER1_OPERATING:fastighet
5560907023,LAYER1_SERVICE:åkeri;NO_REVENUE
5560908054,LAYER1_OPERATING:fastighet
5560909284,LAYER1_SERVICE:åkeri
5560909854,LAYER1_SERVICE:rör
5560910118,LAYER1_OPERATING:fastighet
5560912635,NO_REVENUE
5560913047,REVENUE_BELOW_MIN
5560913070,NO_REVENUE
5560916065,NO_REVENUE
5560923814,NO_REVENUE
5560926213,GLOBAL_SHELL_SUFFIX:sweden ab
5560926239,NO_REVENUE
5560926841,NO_REVENUE
5560928227,NO_REVENUE
5560934456,NO_REVENUE
5560935214,LAYER1_SERVICE:åkeri;NO_REVENUE
5560936667,LAYER1_OPERATING:fastighet;REVENUE_BELOW_MIN
5560942350,NO_REVENUE
5560942400,NO_REVENUE
5560942699,GLOBAL_SHELL_SUFFIX:systems ab;NO_REVENUE
5560943598,NAME_EXCLUDED:hotel
5560943770,LAYER1_OPERATING:fastighet;LAYER1_SERVICE:service
5560949934,LAYER1_SERVICE:konsult
5560951377,LAYER1_SERVICE:verkstad
5560952144,NO_REVENUE
5560952672,NAME_EXCLUDED:hotel
5560957952,LAYER1_SERVICE:service
5560959214,LAYER1_SERVICE:åkeri
5560959693,LAYER1_OPERATING:fastighet
5560961053,LAYER1_SERVICE:bygg;NO_REVENUE
5560999228,GLOBAL_SHELL_SUFFIX:sverige ab
5560971722,LAYER1_SERVICE:åkeri;NO_REVENUE
5560973272,NO_REVENUE
5560979493,NAME_EXCLUDED:transport
5560981242,GLOBAL_SHELL_SUFFIX:sweden ab
5560981606,LAYER1_OPERATING:fastighet
5560987462,NO_REVENUE;NAME_EXCLUDED:anläggning
5560987876,LAYER1_SERVICE:åkeri
5569472342,GLOBAL_SHELL_SUFFIX:sverige ab
5560999798,NO_REVENUE
5561001024,NAME_EXCLUDED:transport
5561001164,NO_REVENUE
5561003483,LAYER1_SERVICE:bygg
5561004481,NO_REVENUE
5561004770,GLOBAL_SHELL_SUFFIX:sweden ab;NO_REVENUE
5561008847,REVENUE_BELOW_MIN;NAME_EXCLUDED:plåt
5561010058,NO_REVENUE
5561010306,LAYER1_SERVICE:ror;NO_REVENUE
5561012955,LAYER1_SERVICE:verkstad
5561015255,NO_REVENUE
5561016295,LAYER1_OPERATING:fastighet
5561016311,LAYER1_OPERATING:fastighet
5561017442,NO_REVENUE
5561019836,LAYER1_SERVICE:service
5561020099,NO_REVENUE
5561020826,NAME_EXCLUDED:hotel
5561022616,NO_REVENUE
5561025692,LAYER1_OPERATING:fastighet
5561026948,LAYER1_OPERATING:fastighet
5561029710,NO_REVENUE
5561030742,LAYER1_OPERATING:förvaltning
5561031963,NO_REVENUE
5561032821,NO_REVENUE
5561035212,NO_REVENUE
5561038109,NAME_EXCLUDED:plåt
5561038570,LAYER1_SERVICE:bygg;NO_REVENUE
5561038695,NO_REVENUE
5561043976,NO_REVENUE
5561044909,NO_REVENUE
5561046789,LAYER1_SERVICE:åkeri;NO_REVENUE
5561047282,NO_REVENUE
5561047878,LAYER1_SERVICE:service
5561057059,NO_REVENUE
5561057208,LAYER1_SERVICE:åkeri;NO_REVENUE
5561057406,LAYER1_SERVICE:åkeri;NO_REVENUE
5561060194,NO_REVENUE
5561075606,REVENUE_BELOW_MIN
5561076224,LAYER1_SERVICE:åkeri;NO_REVENUE
5561076257,NAME_EXCLUDED:transport
5561077297,NO_REVENUE
5561077370,GLOBAL_SHELL_SUFFIX:sverige ab
5561078634,NAME_EXCLUDED:transport
5561079079,NO_REVENUE
5561081075,NO_REVENUE
5561090498,NO_REVENUE
5561097261,NO_REVENUE
5561135699,NAME_EXCLUDED:transport
5561101709,LAYER1_OPERATING:förvaltning;NO_REVENUE
5561102061,GLOBAL_SHELL_SUFFIX:scandinavia ab
5561102079,LAYER1_SERVICE:rör
5561110759,LAYER1_SERVICE:rör;NO_REVENUE
5561118083,GLOBAL_SHELL_SUFFIX:svenska ab;NO_REVENUE
5561236034,LAYER1_SERVICE:montage
5561140244,LAYER1_SERVICE:el
5561141887,NO_REVENUE
5561144147,NO_REVENUE
5561146258,NO_REVENUE
5561147140,GLOBAL_SHELL_SUFFIX:scandinavia ab
5561149617,LAYER1_SERVICE:service
5561149773,LAYER1_OPERATING:fastighet
5561150326,NAME_EXCLUDED:plåt
5561150847,LAYER1_SERVICE:service
5561157909,NO_REVENUE
5561158337,LAYER1_SERVICE:kyl
5561162420,LAYER1_SERVICE:åkeri;NO_REVENUE
5561163584,GLOBAL_SHELL_SUFFIX:sverige ab
5561166439,GLOBAL_SHELL_SUFFIX:sweden ab
5561167551,NO_REVENUE
5561169607,GLOBAL_SHELL_SUFFIX:sweden ab
5561177014,NO_REVENUE
5561178244,LAYER1_SERVICE:installation
5561185710,NAME_EXCLUDED:plåt
5561190124,NO_REVENUE
5561191577,NO_REVENUE
5561193086,LAYER1_OPERATING:fastighet
5561196030,LAYER1_OPERATING:fastighet
5561204867,NO_REVENUE
5561206144,NAME_EXCLUDED:transport
5561206268,NO_REVENUE
5561207407,NO_REVENUE;NAME_EXCLUDED:transport
5561207837,GLOBAL_SHELL_SUFFIX:sweden ab
5561212282,NAME_EXCLUDED:smide
5561215285,NO_REVENUE;NAME_EXCLUDED:transport
5561217166,LAYER1_SERVICE:åkeri
5561219170,NO_REVENUE;NAME_EXCLUDED:plåt
5561221861,NO_REVENUE
5561222612,LAYER1_SERVICE:rör
5561226282,LAYER1_SERVICE:bygg
5561229278,LAYER1_SERVICE:bygg
5561229377,GLOBAL_SHELL_SUFFIX:sverige ab
5561232678,REVENUE_BELOW_MIN
5561240630,GLOBAL_SHELL_SUFFIX:sverige ab
5561243238,LAYER1_SERVICE:entreprenad
5562022904,NO_REVENUE
5561245050,LAYER1_SERVICE:montage
5561258053,LAYER1_SERVICE:åkeri
5561259309,LAYER1_SERVICE:bygg
5561264465,NO_REVENUE
5561265306,NO_REVENUE
5561267740,NO_REVENUE
5561270504,NO_REVENUE
5561271882,NO_REVENUE
5561277079,NO_REVENUE
5561277699,NO_REVENUE
5561277731,LAYER1_SERVICE:rör;NO_REVENUE
5561279679,LAYER1_SERVICE:åkeri
5561311829,REVENUE_BELOW_MIN
5561284620,NO_REVENUE
5561287144,LAYER1_SERVICE:service
5561288563,NO_REVENUE
5561304097,LAYER1_SERVICE:bygg
5561304204,NO_REVENUE
5561306076,LAYER1_SERVICE:rör
5561306696,NO_REVENUE
5561723825,LAYER1_SERVICE:installation;NO_REVENUE
5561312678,NO_REVENUE
5561313510,GLOBAL_SHELL_SUFFIX:sweden ab
5561318113,NO_REVENUE;NAME_EXCLUDED:transport
5561319244,NO_REVENUE
5561321224,NO_REVENUE
5564964616,NO_REVENUE
5561325084,NO_REVENUE
5561326017,LAYER1_SERVICE:åkeri
5561331637,GLOBAL_SHELL_SUFFIX:sweden ab
5561336313,LAYER1_SERVICE:bygg
5561350462,NO_REVENUE
5563490878,NO_REVENUE
5561351254,LAYER1_SERVICE:entreprenad
5561356048,NO_REVENUE
5561357020,LAYER1_SERVICE:åkeri;NO_REVENUE
5561366716,LAYER1_SERVICE:åkeri;NO_REVENUE
5561368407,LAYER1_SERVICE:åkeri;NO_REVENUE
5561374447,LAYER1_OPERATING:fastighet;REVENUE_BELOW_MIN
5561374983,NO_REVENUE
5561375386,LAYER1_SERVICE:åkeri
5561378679,NO_REVENUE
5561380006,LAYER1_SERVICE:åkeri
5561383422,LAYER1_SERVICE:installation;NO_REVENUE
5561387886,LAYER1_SERVICE:el
5561388819,LAYER1_SERVICE:åkeri;REVENUE_BELOW_MIN
5561393355,NO_REVENUE
5561394817,LAYER1_SERVICE:ror;NO_REVENUE
5561394932,LAYER1_SERVICE:åkeri;NO_REVENUE
5561408559,LAYER1_SERVICE:verkstad
5561416115,LAYER1_OPERATING:fastighet
5561416818,NO_REVENUE
5561418137,LAYER1_SERVICE:service;NO_REVENUE
5561423038,NAME_EXCLUDED:hotel
5561424853,LAYER1_SERVICE:åkeri;NO_REVENUE
5561425991,NO_REVENUE
5561426049,NO_REVENUE
5561427963,NO_REVENUE
5561431197,NO_REVENUE
5561434936,LAYER1_SERVICE:åkeri
5561436543,LAYER1_SERVICE:service
5561436741,LAYER1_SERVICE:bygg
5561444471,LAYER1_SERVICE:åkeri
5561447094,LAYER1_SERVICE:åkeri;NO_REVENUE
5561452102,LAYER1_SERVICE:bygg;NO_REVENUE
5561456582,LAYER1_SERVICE:bygg;NO_REVENUE
5561458877,LAYER1_SERVICE:entreprenad
5561469890,NO_REVENUE
5561477521,NO_REVENUE
5561479733,LAYER1_SERVICE:åkeri;NO_REVENUE
5561480970,NO_REVENUE
5561495630,NO_REVENUE
5561500272,LAYER1_SERVICE:entreprenad
5561503847,GLOBAL_SHELL_SUFFIX:sverige ab
5561513564,NO_REVENUE
5561517888,NAME_EXCLUDED:hotel
5561518290,LAYER1_SERVICE:åkeri;NO_REVENUE
5561520064,LAYER1_SERVICE:entreprenad
5561528117,NO_REVENUE
5561541763,NO_REVENUE
5561544338,GLOBAL_SHELL_SUFFIX:sweden ab
5561548008,LAYER1_SERVICE:konsult
5561550178,LAYER1_SERVICE:bygg
5561553529,NO_REVENUE
5561554550,LAYER1_SERVICE:åkeri
5561560839,LAYER1_OPERATING:fastighet
5561561258,LAYER1_SERVICE:åkeri;NO_REVENUE
5561561795,NO_REVENUE;NAME_EXCLUDED:anläggning
5561562538,NO_REVENUE
5561564211,NO_REVENUE;NAME_EXCLUDED:grossist
5561568964,NO_REVENUE
5561571547,GLOBAL_SHELL_SUFFIX:sweden ab;NO_REVENUE
5561573501,GLOBAL_SHELL_SUFFIX:sweden ab;NO_REVENUE
5561575092,LAYER1_SERVICE:bygg
5561582643,LAYER1_SERVICE:kyl
5563494086,LAYER1_SERVICE:el;NO_REVENUE
5561592006,LAYER1_SERVICE:åkeri
5561595066,LAYER1_SERVICE:installation
5561607291,NO_REVENUE
5561644930,NO_REVENUE
5561610329,NO_REVENUE
5561610865,NO_REVENUE
5561614982,NO_REVENUE
5561617209,NAME_EXCLUDED:transport
5561621656,LAYER1_SERVICE:åkeri
5561624346,NO_REVENUE
5561633271,NO_REVENUE
5561637496,LAYER1_SERVICE:bygg
5561641787,REVENUE_BELOW_MIN
5561642017,LAYER1_OPERATING:förvaltning
5561642652,LAYER1_SERVICE:service;NO_REVENUE
5561647867,LAYER1_SERVICE:service;NO_REVENUE
5561651729,LAYER1_OPERATING:fastighet
5561653428,GLOBAL_SHELL_SUFFIX:sweden ab
5561656835,LAYER1_SERVICE:elteknik
5561662858,NO_REVENUE
5561663807,LAYER1_SERVICE:entreprenad;NO_REVENUE
5561665968,LAYER1_SERVICE:bygg
5561666123,LAYER1_SERVICE:entreprenad
5561666230,NO_REVENUE;NAME_EXCLUDED:transport
5561675587,LAYER1_SERVICE:bygg
5561677757,NO_REVENUE
5561681882,LAYER1_SERVICE:rör
5561685099,NO_REVENUE
5561686568,LAYER1_SERVICE:service;NO_REVENUE
5561688069,NO_REVENUE
5561688275,NO_REVENUE
5563497188,LAYER1_SERVICE:entreprenad;NO_REVENUE
5561689679,NO_REVENUE
5561721993,LAYER1_SERVICE:konsult
5561691741,NO_REVENUE
5561692525,NO_REVENUE
5561704015,NO_REVENUE
5561708511,NO_REVENUE
5561710954,GLOBAL_SHELL_SUFFIX:sweden ab
5561713990,GLOBAL_SHELL_SUFFIX:sweden ab
5561725796,LAYER1_SERVICE:rör
5561725804,NO_REVENUE
5561729913,LAYER1_SERVICE:åkeri
5564964624,NO_REVENUE
5561736405,GLOBAL_SHELL_SUFFIX:sweden ab;NO_REVENUE
5561736975,NO_REVENUE
5561746016,GLOBAL_SHELL_SUFFIX:scandinavia ab
5561747097,GLOBAL_SHELL_SUFFIX:sweden ab
5561749804,NO_REVENUE
5561754564,NAME_EXCLUDED:transport
5561755116,NO_REVENUE
5561758870,NO_REVENUE
5561759290,NO_REVENUE
5561766162,NO_REVENUE
5561767236,NO_REVENUE
5561768200,NAME_EXCLUDED:anläggning
5561771790,NO_REVENUE
5561776716,LAYER1_SERVICE:bygg
5561777805,NO_REVENUE
5561788828,NO_REVENUE
5561789636,NO_REVENUE
5561814350,GLOBAL_SHELL_SUFFIX:sverige ab
5561814848,NO_REVENUE
5561816678,LAYER1_SERVICE:entreprenad;NO_REVENUE
5561821785,GLOBAL_SHELL_SUFFIX:sverige ab;LAYER1_SERVICE:service;NO_REVENUE
5561826099,LAYER1_SERVICE:bygg;NO_REVENUE
5561828079,NO_REVENUE
5561828863,NO_REVENUE
5561829127,NO_REVENUE
5561833863,NO_REVENUE
5561837161,LAYER1_OPERATING:fastighet
5561837740,NO_REVENUE
5561838227,NO_REVENUE
5561839183,GLOBAL_SHELL_SUFFIX:scandinavia ab
5561839191,LAYER1_OPERATING:fastighet;NO_REVENUE
5561839860,NO_REVENUE
5561841411,LAYER1_SERVICE:åkeri;NO_REVENUE
5561844316,NO_REVENUE
5561845321,GLOBAL_SHELL_SUFFIX:sverige ab;LAYER1_SERVICE:rör
5561856559,LAYER1_SERVICE:bygg;NO_REVENUE
5561857078,LAYER1_SERVICE:åkeri;NO_REVENUE
5561859850,NO_REVENUE
5561861278,NO_REVENUE
5561863084,NO_REVENUE
5561863647,LAYER1_SERVICE:entreprenad
5561864801,NAME_EXCLUDED:hotel
5561868257,LAYER1_SERVICE:ror;NO_REVENUE
5561869909,GLOBAL_SHELL_SUFFIX:sweden ab;NO_REVENUE
5561873166,NO_REVENUE
5561875260,NO_REVENUE;NAME_EXCLUDED:plåt
5561875773,NO_REVENUE
5561876599,NAME_EXCLUDED:hotel
5561877845,LAYER1_SERVICE:åkeri
5561878041,LAYER1_SERVICE:verkstad;NO_REVENUE
5561881250,LAYER1_SERVICE:service;NAME_EXCLUDED:anläggning
5561883314,LAYER1_SERVICE:service;NO_REVENUE
5561886549,LAYER1_SERVICE:entreprenad
5561888198,NO_REVENUE
5561894444,GLOBAL_SHELL_SUFFIX:sverige ab;NO_REVENUE
5561895755,NO_REVENUE
5561899716,LAYER1_SERVICE:åkeri
5561899989,LAYER1_OPERATING:fastighet
5561903757,NO_REVENUE
5561904078,GLOBAL_SHELL_SUFFIX:sverige ab
5561906081,NO_REVENUE
5561917328,NO_REVENUE
5561919852,LAYER1_SERVICE:bygg;NO_REVENUE;NAME_EXCLUDED:plåt
5561919985,NAME_EXCLUDED:transport
5561920314,LAYER1_SERVICE:verkstad
5561927731,LAYER1_SERVICE:bygg
5561928481,NO_REVENUE
5561932996,LAYER1_SERVICE:åkeri
5561934810,NAME_EXCLUDED:transport
5561935312,REVENUE_BELOW_MIN
5561936435,NO_REVENUE
5561936773,GLOBAL_SHELL_SUFFIX:sweden ab;NAME_EXCLUDED:grundfos
5561937227,NO_REVENUE
5561938985,LAYER1_SERVICE:åkeri;NO_REVENUE
5561940312,LAYER1_SERVICE:kyl
5561942367,NO_REVENUE
5561942706,NO_REVENUE
5561942896,NO_REVENUE
5561943589,NO_REVENUE;NAME_EXCLUDED:anläggning
5561944678,LAYER1_OPERATING:fastighet;LAYER1_SERVICE:service
5561945469,LAYER1_SERVICE:service
5561946152,LAYER1_SERVICE:service
5561947101,LAYER1_SERVICE:kyl;NO_REVENUE
5561947218,GLOBAL_SHELL_SUFFIX:sweden ab
5561949693,GLOBAL_SHELL_SUFFIX:sverige ab
5561950139,GLOBAL_SHELL_SUFFIX:sverige ab;NO_REVENUE
5561953182,NO_REVENUE
5561953356,NO_REVENUE
5561955120,NO_REVENUE
5561960641,NO_REVENUE
5561962308,LAYER1_SERVICE:installation
5561966705,REVENUE_BELOW_MIN
5561970210,REVENUE_BELOW_MIN
5561973685,NO_REVENUE
5561977025,REVENUE_BELOW_MIN
5561977975,LAYER1_OPERATING:fastighet
5561968552,NO_REVENUE
5561981316,NO_REVENUE
5561988469,NO_REVENUE
5561989228,LAYER1_SERVICE:montage;NO_REVENUE
5561990002,NO_REVENUE
5561991059,LAYER1_SERVICE:service
5561991349,NAME_EXCLUDED:anläggning
5561992578,REVENUE_BELOW_MIN
5561994087,NO_REVENUE
5561994533,NO_REVENUE
5565982526,GLOBAL_SHELL_SUFFIX:sverige ab
5561998435,NO_REVENUE
5561999003,REVENUE_BELOW_MIN
5562005370,NO_REVENUE
5562008283,GLOBAL_SHELL_SUFFIX:sweden ab;NO_REVENUE
5562012244,LAYER1_SERVICE:bygg;NO_REVENUE
5562014406,LAYER1_SERVICE:entreprenad
5562014513,NO_REVENUE;NAME_EXCLUDED:plåt
5562014638,NO_REVENUE
5565982872,NAME_EXCLUDED:hotel
5562023381,GLOBAL_SHELL_SUFFIX:sweden ab;NO_REVENUE
5562026194,NO_REVENUE
5562028075,NO_REVENUE
5562029966,NO_REVENUE
